tile_index,jis_code,unicode,character,file_offset
415,0x3448,U+7AFF,竿,0x23684
416,0x3449,U+7BA1,管,0x236C4
417,0x344A,U+7C21,簡,0x23704
418,0x344B,U+7DE9,緩,0x23744
419,0x344C,U+7F36,缶,0x23784
420,0x344D,U+7FF0,翰,0x237C4
421,0x344E,U+809D,肝,0x23804
422,0x344F,U+8266,艦,0x23844
423,0x3450,U+839E,莞,0x23884
424,0x3451,U+89B3,観,0x238C4
425,0x3452,U+8ACC,諌,0x23904
426,0x3453,U+8CAB,貫,0x23944
427,0x3454,U+9084,還,0x23984
428,0x3455,U+9451,鑑,0x239C4
429,0x3456,U+9593,間,0x23A04
430,0x3457,U+9591,閑,0x23A44
431,0x3458,U+95A2,関,0x23A84
432,0x3459,U+9665,陥,0x23AC4
433,0x345A,U+97D3,韓,0x23B04
434,0x345B,U+9928,館,0x23B44
435,0x345C,U+8218,舘,0x23B84
436,0x345D,U+4E38,丸,0x23BC4
437,0x345E,U+542B,含,0x23C04
438,0x345F,U+5CB8,岸,0x23C44
439,0x3460,U+5DCC,巌,0x23C84
440,0x3461,U+73A9,玩,0x23CC4
441,0x3462,U+764C,癌,0x23D04
442,0x3463,U+773C,眼,0x23D44
443,0x3464,U+5CA9,岩,0x23D84
444,0x3465,U+7FEB,翫,0x23DC4
445,0x3466,U+8D0B,贋,0x23E04
446,0x3467,U+96C1,雁,0x23E44
447,0x3468,U+9811,頑,0x23E84
448,0x3469,U+9854,顔,0x23EC4
449,0x346A,U+9858,願,0x23F04
450,0x346B,U+4F01,企,0x23F44
451,0x346C,U+4F0E,伎,0x23F84
452,0x346D,U+5371,危,0x23FC4
453,0x346E,U+559C,喜,0x24004
454,0x346F,U+5668,器,0x24044
455,0x3470,U+57FA,基,0x24084
456,0x3471,U+5947,奇,0x240C4
457,0x3472,U+5B09,嬉,0x24104
458,0x3473,U+5BC4,寄,0x24144
459,0x3474,U+5C90,岐,0x24184
460,0x3475,U+5E0C,希,0x241C4
461,0x3476,U+5E7E,幾,0x24204
462,0x3477,U+5FCC,忌,0x24244
463,0x3478,U+63EE,揮,0x24284
464,0x3479,U+673A,机,0x242C4
465,0x347A,U+65D7,旗,0x24304
466,0x347B,U+65E2,既,0x24344
467,0x347C,U+671F,期,0x24384
468,0x347D,U+68CB,棋,0x243C4
469,0x347E,U+68C4,棄,0x24404
470,0x3521,U+6A5F,機,0x24444
471,0x3522,U+5E30,帰,0x24484
472,0x3523,U+6BC5,毅,0x244C4
473,0x3524,U+6C17,気,0x24504
474,0x3525,U+6C7D,汽,0x24544
475,0x3526,U+757F,畿,0x24584
476,0x3527,U+7948,祈,0x245C4
477,0x3528,U+5B63,季,0x24604
478,0x3529,U+7A00,稀,0x24644
479,0x352A,U+7D00,紀,0x24684
480,0x352B,U+5FBD,徽,0x246C4
481,0x352C,U+898F,規,0x24704
482,0x352D,U+8A18,記,0x24744
483,0x352E,U+8CB4,貴,0x24784
484,0x352F,U+8D77,起,0x247C4
485,0x3530,U+8ECC,軌,0x24804
486,0x3531,U+8F1D,輝,0x24844
487,0x3532,U+98E2,飢,0x24884
488,0x3533,U+9A0E,騎,0x248C4
489,0x3534,U+9B3C,鬼,0x24904
490,0x3535,U+4E80,亀,0x24944
491,0x3536,U+507D,偽,0x24984
492,0x3537,U+5100,儀,0x249C4
493,0x3538,U+5993,妓,0x24A04
494,0x3539,U+5B9C,宜,0x24A44
495,0x353A,U+622F,戯,0x24A84
496,0x353B,U+6280,技,0x24AC4
497,0x353C,U+64EC,擬,0x24B04
498,0x353D,U+6B3A,欺,0x24B44
499,0x353E,U+72A0,犠,0x24B84
500,0x353F,U+7591,疑,0x24BC4
501,0x3540,U+7947,祇,0x24C04
502,0x3541,U+7FA9,義,0x24C44
503,0x3542,U+87FB,蟻,0x24C84
504,0x3543,U+8ABC,誼,0x24CC4
505,0x3544,U+8B70,議,0x24D04
506,0x3545,U+63AC,掬,0x24D44
507,0x3546,U+83CA,菊,0x24D84
508,0x3547,U+97A0,鞠,0x24DC4
509,0x3548,U+5409,吉,0x24E04
510,0x3549,U+5403,吃,0x24E44
511,0x354A,U+55AB,喫,0x24E84
512,0x354B,U+6854,桔,0x24EC4
513,0x354C,U+6A58,橘,0x24F04
514,0x354D,U+8A70,詰,0x24F44
515,0x354E,U+7827,砧,0x24F84
516,0x354F,U+6775,杵,0x24FC4
517,0x3550,U+9ECD,黍,0x25004
518,0x3551,U+5374,却,0x25044
519,0x3552,U+5BA2,客,0x25084
520,0x3553,U+811A,脚,0x250C4
521,0x3554,U+8650,虐,0x25104
522,0x3555,U+9006,逆,0x25144
523,0x3556,U+4E18,丘,0x25184
524,0x3557,U+4E45,久,0x251C4
525,0x3558,U+4EC7,仇,0x25204
526,0x3559,U+4F11,休,0x25244
527,0x355A,U+53CA,及,0x25284
528,0x355B,U+5438,吸,0x252C4
529,0x355C,U+5BAE,宮,0x25304
530,0x355D,U+5F13,弓,0x25344
531,0x355E,U+6025,急,0x25384
532,0x355F,U+6551,救,0x253C4
533,0x3560,U+673D,朽,0x25404
534,0x3561,U+6C42,求,0x25444
535,0x3562,U+6C72,汲,0x25484
536,0x3563,U+6CE3,泣,0x254C4
